country;oilperperson
UAE;3,66
Argentina;0,672
Australia;1,88
Austria;1,51
Azerbaijan;0,361
Belgium;3,03
Bangladesh;0,0266
Bulgaria;0,56
Belarus;0,787
Brazil;0,542
Canada;2,97
Switzerland;1,46
Chile;0,939
China;0,326
Colombia;0,261
Cyprus;2,56
Czech Republic;0,845
Germany;1,39
Denmark;1,5
Algeria;0,412
Ecuador;0,684
Egypt;0,439
Spain;1,5
Estonia;1,03
Finland;1,94
France;1,3
UK;1,17
Greece;1,71
Hong Kong;2,55
Croatia;0,855
Hungary;0,651
Indonesia;0,267
India;0,127
Ireland;1,65
Iran;1,12
Iraq;0,917
Iceland;2,19
Israel;1,53
Italy;1,21
Japan;1,57
Kazakhstan;0,605
South Korea;2,12
Kuwait;7,06
Sri Lanka;0,205
Lithuania;0,845
Luxembourg;5,56
Latvia;0,813
Morocco;0,379
Mexico;0,783
North Macedonia;0,452
Malaysia;1,03
Netherlands;2,69
Norway;2,13
New Zealand;1,61
Oman;2,09
Pakistan;0,115
Peru;0,293
Philippines;0,153
Poland;0,699
Portugal;1,19
Qatar;3,49
Romania;0,42
Russia;0,929
Saudi Arabia;4,98
Singapore;11,9
Slovak Republic;0,702
Slovenia;1,26
Sweden;1,62
Thailand;0,698
Turkmenistan;1,09
Trinidad and Tobago;1,68
Turkey;0,439
Taiwan;2,03
Ukraine;0,275
USA;2,63
Uzbekistan;0,127
Venezuela;1,2
Vietnam;0,174
South Africa;0,499
